date_key,date,year,quarter_number,quarter_text,month,year_month,week,year_week,week_start,week_end,week_range,abbreviated_weekday,weekday
36,"2021-02-05 00:00:00",2021,1,"Q1 2021",2,"February 2021",5,"2021, Week 5","2021-02-01 00:00:00",2021-02-07,"Feb 01, 2021 to Feb 07, 2021 (Week 5)",Fri,Friday
37,"2021-02-06 00:00:00",2021,1,"Q1 2021",2,"February 2021",5,"2021, Week 5","2021-02-01 00:00:00",2021-02-07,"Feb 01, 2021 to Feb 07, 2021 (Week 5)",Sat,Saturday
38,"2021-02-07 00:00:00",2021,1,"Q1 2021",2,"February 2021",5,"2021, Week 5","2021-02-01 00:00:00",2021-02-07,"Feb 01, 2021 to Feb 07, 2021 (Week 5)",Sun,Sunday
39,"2021-02-08 00:00:00",2021,1,"Q1 2021",2,"February 2021",6,"2021, Week 6","2021-02-08 00:00:00",2021-02-14,"Feb 08, 2021 to Feb 14, 2021 (Week 6)",Mon,Monday
40,"2021-02-09 00:00:00",2021,1,"Q1 2021",2,"February 2021",6,"2021, Week 6","2021-02-08 00:00:00",2021-02-14,"Feb 08, 2021 to Feb 14, 2021 (Week 6)",Tue,Tuesday
41,"2021-02-10 00:00:00",2021,1,"Q1 2021",2,"February 2021",6,"2021, Week 6","2021-02-08 00:00:00",2021-02-14,"Feb 08, 2021 to Feb 14, 2021 (Week 6)",Wed,Wednesday
42,"2021-02-11 00:00:00",2021,1,"Q1 2021",2,"February 2021",6,"2021, Week 6","2021-02-08 00:00:00",2021-02-14,"Feb 08, 2021 to Feb 14, 2021 (Week 6)",Thu,Thursday
43,"2021-02-12 00:00:00",2021,1,"Q1 2021",2,"February 2021",6,"2021, Week 6","2021-02-08 00:00:00",2021-02-14,"Feb 08, 2021 to Feb 14, 2021 (Week 6)",Fri,Friday
44,"2021-02-13 00:00:00",2021,1,"Q1 2021",2,"February 2021",6,"2021, Week 6","2021-02-08 00:00:00",2021-02-14,"Feb 08, 2021 to Feb 14, 2021 (Week 6)",Sat,Saturday
45,"2021-02-14 00:00:00",2021,1,"Q1 2021",2,"February 2021",6,"2021, Week 6","2021-02-08 00:00:00",2021-02-14,"Feb 08, 2021 to Feb 14, 2021 (Week 6)",Sun,Sunday
46,"2021-02-15 00:00:00",2021,1,"Q1 2021",2,"February 2021",7,"2021, Week 7","2021-02-15 00:00:00",2021-02-21,"Feb 15, 2021 to Feb 21, 2021 (Week 7)",Mon,Monday
47,"2021-02-16 00:00:00",2021,1,"Q1 2021",2,"February 2021",7,"2021, Week 7","2021-02-15 00:00:00",2021-02-21,"Feb 15, 2021 to Feb 21, 2021 (Week 7)",Tue,Tuesday
